Season,Country_Winners,Winners,Score,Runners_up,Country_Runners_up,Venue,Attendance,Countries,Goals_Winner,Goals_Runner_up,Total_Goals
1955–56,Spain,Real Madrid,4–3,Reims,France,"Parc des Princes, Paris, France",38239.0,Spain vs France,4.0,3.0,7.0
1956–57,Spain,Real Madrid,2–0,Fiorentina,Italy,"Santiago Bernabéu, Madrid, Spain",124000.0,Spain vs Italy,2.0,0.0,2.0
1957–58,Spain,Real Madrid,3–2,AC Milan,Italy,"Heysel Stadium, Brussels, Belgium",67000.0,Spain vs Italy,3.0,2.0,5.0
1958–59,Spain,Real Madrid,2–0,Reims,France,"Neckarstadion, Stuttgart, West Germany",72000.0,Spain vs France,2.0,0.0,2.0
1959–60,Spain,Real Madrid,7–3,Eintracht Frankfurt,West Germany,"Hampden Park, Glasgow, Scotland",127621.0,Spain vs West Germany,7.0,3.0,10.0
1960–61,Portugal,Benfica,3–2,Barcelona,Spain,"Wankdorf Stadium, Bern, Switzerland",26732.0,Portugal vs Spain,3.0,2.0,5.0
1961–62,Portugal,Benfica,5–3,Real Madrid,Spain,"Olympisch Stadion, Amsterdam, Netherlands",61257.0,Portugal vs Spain,5.0,3.0,8.0
1962–63,Italy,AC Milan,2–1,Benfica,Portugal,"Wembley Stadium, London, England",45715.0,Italy vs Portugal,2.0,1.0,3.0
1963–64,Italy,Inter Milan,3–1,Real Madrid,Spain,"Praterstadion, Vienna, Austria",71333.0,Italy vs Spain,3.0,1.0,4.0
1964–65,Italy,Inter Milan,1–0,Benfica,Portugal,"San Siro, Milan, Italy",89000.0,Italy vs Portugal,1.0,0.0,1.0
1965–66,Spain,Real Madrid,2–1,Partizan,Yugoslavia,"Heysel Stadium, Brussels, Belgium",46745.0,Spain vs Yugoslavia,2.0,1.0,3.0
1966–67,Scotland,Celtic,2–1,Inter Milan,Italy,"Estádio Nacional, Lisbon, Portugal",45000.0,Scotland vs Italy,2.0,1.0,3.0
1967–68,England,Manchester United,4–1,Benfica,Portugal,"Wembley Stadium, London, England",92225.0,England vs Portugal,4.0,1.0,5.0
1968–69,Italy,AC Milan,4–1,Ajax,Netherlands,"Santiago Bernabéu, Madrid, Spain",31782.0,Italy vs Netherlands,4.0,1.0,5.0
1969–70,Netherlands,Feyenoord,2–1,Celtic,Scotland,"San Siro, Milan, Italy",53187.0,Netherlands vs Scotland,2.0,1.0,3.0
1970–71,Netherlands,Ajax,2–0,Panathinaikos,Greece,"Wembley Stadium, London, England",83179.0,Netherlands vs Greece,2.0,0.0,2.0
1971–72,Netherlands,Ajax,2–0,Inter Milan,Italy,"De Kuip, Rotterdam, Netherlands",61354.0,Netherlands vs Italy,2.0,0.0,2.0
1972–73,Netherlands,Ajax,1–0,Juventus,Italy,"Red Star Stadium, Belgrade, SFR Yugoslavia",89484.0,Netherlands vs Italy,1.0,0.0,1.0
1973–74,West Germany,Bayern Munich,1–1,Atlético Madrid,Spain,"Heysel Stadium, Brussels, Belgium",48722.0,West Germany vs Spain,1.0,1.0,2.0
4–0&,23325,,nan,,,,,,,,
1974–75,West Germany,Bayern Munich,2–0,Leeds United,England,"Parc des Princes, Paris, France",48374.0,West Germany vs England,2.0,0.0,2.0
